Season,Scenario,Team,Matches To 50% Mark,Games In Progression,Outcome,Profit/Loss (Units),Max Capital Needed (Units)
2014-2015,Highest Win %,Anderlecht,15,2,Win,1.0,1
2014-2015,Highest Win %,Standard,15,7,Win,6.0,13
2014-2015,Highest Win %,Club Brugge,15,2,Win,1.0,1
2013-2014,Lowest Draw %,Kortrijk,15,1,Win,2.0,1
2013-2014,Lowest Draw %,Anderlecht,15,5,Win,3.0,5
2013-2014,Lowest Draw %,Lierse,15,7,Win,6.0,13
2013-2014,Longest Unbeaten Streak,Waregem,15,2,Win,1.0,1
2013-2014,Longest Unbeaten Streak,Cercle Brugge,15,10,Win,22.0,55
2013-2014,Longest Unbeaten Streak,Anderlecht,15,5,Win,3.0,5
2013-2014,Highest Loss %,Bergen,15,3,Win,2.0,2
2013-2014,Highest Loss %,Oostende,15,5,Win,3.0,5
2013-2014,Highest Loss %,Lierse,15,7,Win,6.0,13
2013-2014,Highest Win %,Genk,15,15,Win,234.0,610
2013-2014,Highest Win %,Standard,15,3,Win,2.0,2
2013-2014,Highest Win %,Anderlecht,15,5,Win,3.0,5
2012-2013,Lowest Draw %,Standard,15,1,Win,2.0,1
2012-2013,Lowest Draw %,Germinal,15,3,Win,2.0,2
2012-2013,Lowest Draw %,Charleroi,15,1,Win,2.0,1
2012-2013,Longest Unbeaten Streak,Lokeren,15,5,Win,3.0,5
2012-2013,Longest Unbeaten Streak,Waregem,15,1,Win,2.0,1
2012-2013,Longest Unbeaten Streak,Anderlecht,15,9,Win,14.0,34
2012-2013,Highest Loss %,Cercle Brugge,15,4,Win,2.0,3
2012-2013,Highest Loss %,Charleroi,15,1,Win,2.0,1
2012-2013,Highest Loss %,Waasland-Beveren,15,6,Win,4.0,8
2012-2013,Highest Win %,Anderlecht,15,9,Win,14.0,34
2012-2013,Highest Win %,Waregem,15,1,Win,2.0,1
2012-2013,Highest Win %,Lokeren,15,5,Win,3.0,5
2011-2012,Lowest Draw %,Oud-Heverlee Leuven,15,1,Win,2.0,1
2011-2012,Lowest Draw %,Anderlecht,15,1,Win,2.0,1
2011-2012,Lowest Draw %,Gent,15,1,Win,2.0,1
2011-2012,Longest Unbeaten Streak,Standard,15,1,Win,2.0,1
2011-2012,Longest Unbeaten Streak,Gent,15,1,Win,2.0,1
2011-2012,Longest Unbeaten Streak,Lokeren,15,1,Win,2.0,1
2011-2012,Highest Loss %,Oud-Heverlee Leuven,15,1,Win,2.0,1
2011-2012,Highest Loss %,Westerlo,15,6,Win,4.0,8
2011-2012,Highest Loss %,St Truiden,15,3,Win,2.0,2
2011-2012,Highest Win %,Anderlecht,15,1,Win,2.0,1
2011-2012,Highest Win %,Gent,15,1,Win,2.0,1
2011-2012,Highest Win %,Standard,15,1,Win,2.0,1
2010-2011,Lowest Draw %,Gent,15,1,Win,2.0,1
2010-2011,Lowest Draw %,Eupen,15,1,Win,2.0,1
2010-2011,Lowest Draw %,St Truiden,15,6,Win,4.0,8
2010-2011,Longest Unbeaten Streak,Lokeren,15,3,Win,2.0,2
2010-2011,Longest Unbeaten Streak,Waregem,15,2,Win,1.0,1
2010-2011,Longest Unbeaten Streak,Kortrijk,15,6,Win,4.0,8
2010-2011,Highest Loss %,Eupen,15,1,Win,2.0,1
2010-2011,Highest Loss %,St Truiden,15,6,Win,4.0,8
2010-2011,Highest Loss %,Charleroi,15,6,Win,4.0,8
2010-2011,Highest Win %,Genk,15,5,Win,3.0,5
2010-2011,Highest Win %,Anderlecht,15,4,Win,2.0,3
2010-2011,Highest Win %,Gent,15,1,Win,2.0,1
2009-2010,Lowest Draw %,Mechelen,14,3,Win,2.0,2
2009-2010,Lowest Draw %,Anderlecht,14,4,Win,2.0,3
2009-2010,Lowest Draw %,Club Brugge,14,3,Win,2.0,2
2009-2010,Longest Unbeaten Streak,Kortrijk,14,4,Win,2.0,3
2009-2010,Longest Unbeaten Streak,Anderlecht,14,4,Win,2.0,3
2009-2010,Longest Unbeaten Streak,Germinal,14,2,Win,1.0,1
2009-2010,Highest Loss %,Lokeren,14,14,Loss,-986.0,377
2009-2010,Highest Loss %,Roeselare,14,10,Win,22.0,55
2009-2010,Highest Loss %,Mechelen,14,3,Win,2.0,2
2009-2010,Highest Win %,Anderlecht,14,4,Win,2.0,3
2009-2010,Highest Win %,Club Brugge,14,3,Win,2.0,2
2009-2010,Highest Win %,Mechelen,14,3,Win,2.0,2
2008-2009,Lowest Draw %,Cercle Brugge,17,3,Win,2.0,2
2008-2009,Lowest Draw %,Anderlecht,17,7,Win,6.0,13
2008-2009,Lowest Draw %,Tubize,17,1,Win,2.0,1
2008-2009,Longest Unbeaten Streak,Anderlecht,17,7,Win,6.0,13
2008-2009,Longest Unbeaten Streak,Kortrijk,17,5,Win,3.0,5
2008-2009,Longest Unbeaten Streak,Mechelen,17,2,Win,1.0,1
2008-2009,Highest Loss %,Tubize,17,1,Win,2.0,1
2008-2009,Highest Loss %,Roeselare,17,4,Win,2.0,3
2008-2009,Highest Loss %,Germinal,17,4,Win,2.0,3
2008-2009,Highest Win %,Anderlecht,17,7,Win,6.0,13
2008-2009,Highest Win %,Standard,17,15,Win,234.0,610
2008-2009,Highest Win %,Cercle Brugge,17,3,Win,2.0,2
2007-2008,Lowest Draw %,Charleroi,17,2,Win,1.0,1
2007-2008,Lowest Draw %,FC Brussels,17,6,Win,4.0,8
2007-2008,Lowest Draw %,St Truiden,17,1,Win,2.0,1
2007-2008,Longest Unbeaten Streak,Standard,17,3,Win,2.0,2
2007-2008,Longest Unbeaten Streak,Club Brugge,17,1,Win,2.0,1
2007-2008,Longest Unbeaten Streak,Germinal,17,3,Win,2.0,2
2007-2008,Highest Loss %,St Truiden,17,1,Win,2.0,1
2007-2008,Highest Loss %,FC Brussels,17,6,Win,4.0,8
2007-2008,Highest Loss %,Bergen,17,5,Win,3.0,5
2007-2008,Highest Win %,Club Brugge,17,1,Win,2.0,1
2007-2008,Highest Win %,Germinal,17,3,Win,2.0,2
2007-2008,Highest Win %,Standard,17,3,Win,2.0,2
2006-2007,Lowest Draw %,St Truiden,17,3,Win,2.0,2
2006-2007,Lowest Draw %,Gent,17,1,Win,2.0,1
2006-2007,Lowest Draw %,Cercle Brugge,17,3,Win,2.0,2
2006-2007,Longest Unbeaten Streak,Gent,17,1,Win,2.0,1
2006-2007,Longest Unbeaten Streak,Anderlecht,17,4,Win,2.0,3
2006-2007,Longest Unbeaten Streak,Standard,17,10,Win,22.0,55
2006-2007,Highest Loss %,Lierse,17,9,Win,14.0,34
2006-2007,Highest Loss %,Bergen,17,1,Win,2.0,1
2006-2007,Highest Loss %,St Truiden,17,3,Win,2.0,2
2006-2007,Highest Win %,Genk,17,1,Win,2.0,1
2006-2007,Highest Win %,Anderlecht,17,4,Win,2.0,3
2006-2007,Highest Win %,Gent,17,1,Win,2.0,1
2005-2006,Lowest Draw %,Mouscron,17,2,Win,1.0,1
2005-2006,Lowest Draw %,Beveren,17,2,Win,1.0,1
2005-2006,Lowest Draw %,Standard,17,3,Win,2.0,2
2005-2006,Longest Unbeaten Streak,FC Brussels,17,3,Win,2.0,2
2005-2006,Longest Unbeaten Streak,Genk,17,1,Win,2.0,1
2005-2006,Longest Unbeaten Streak,Westerlo,17,1,Win,2.0,1
2005-2006,Highest Loss %,St Truiden,17,1,Win,2.0,1
2005-2006,Highest Loss %,Mouscron,17,2,Win,1.0,1
2005-2006,Highest Loss %,Lierse,17,2,Win,1.0,1
2005-2006,Highest Win %,Standard,17,3,Win,2.0,2
2005-2006,Highest Win %,Anderlecht,17,1,Win,2.0,1
2005-2006,Highest Win %,Westerlo,17,1,Win,2.0,1
2003-2004,Lowest Draw %,Beveren,17,2,Win,1.0,1
2003-2004,Lowest Draw %,Anderlecht,17,6,Win,4.0,8
2003-2004,Lowest Draw %,Standard,17,1,Win,2.0,1
2003-2004,Longest Unbeaten Streak,Standard,17,1,Win,2.0,1
2003-2004,Longest Unbeaten Streak,Anderlecht,17,6,Win,4.0,8
2003-2004,Longest Unbeaten Streak,Beveren,17,2,Win,1.0,1
2003-2004,Highest Loss %,Antwerp,17,3,Win,2.0,2
2003-2004,Highest Loss %,Charleroi,17,1,Win,2.0,1
2003-2004,Highest Loss %,Lokeren,17,2,Win,1.0,1
2003-2004,Highest Win %,Anderlecht,17,6,Win,4.0,8
2003-2004,Highest Win %,Standard,17,1,Win,2.0,1
2003-2004,Highest Win %,Genk,17,3,Win,2.0,2
2001-2002,Lowest Draw %,Club Brugge,17,10,Win,22.0,55
2001-2002,Lowest Draw %,Mouscron,17,2,Win,1.0,1
2001-2002,Lowest Draw %,Molenbeek,17,4,Win,2.0,3
2001-2002,Longest Unbeaten Streak,Genk,17,3,Win,2.0,2
2001-2002,Longest Unbeaten Streak,Lokeren,17,4,Win,2.0,3
2001-2002,Longest Unbeaten Streak,Standard,17,5,Win,3.0,5
2001-2002,Highest Loss %,Beveren,17,2,Win,1.0,1
2001-2002,Highest Loss %,Molenbeek,17,4,Win,2.0,3
2001-2002,Highest Loss %,Mouscron,17,2,Win,1.0,1
2001-2002,Highest Win %,Club Brugge,17,10,Win,22.0,55
2001-2002,Highest Win %,Gent,17,2,Win,1.0,1
2001-2002,Highest Win %,Standard,17,5,Win,3.0,5
